dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.734600,11.250000,0.734605,2.360000,4.000000,-0.000000,0.000000
0.010000,0.758600,11.250000,0.758605,2.400000,4.000000,0.000000,0.000000
0.010000,0.783000,11.250000,0.783005,2.440000,4.000000,0.000000,0.000000
0.010000,0.807800,11.250000,0.807805,2.480000,4.000000,0.000000,0.000000
0.010000,0.833000,11.250000,0.833005,2.520000,4.000000,-0.000000,0.000000
0.010000,0.858600,11.250000,0.858605,2.560000,4.000000,0.000000,0.000000
0.010000,0.884600,11.250000,0.884605,2.600000,4.000000,-0.000000,0.000000
0.010000,0.911000,11.250000,0.911005,2.640000,4.000000,0.000000,0.000000
0.010000,0.937800,11.250000,0.937805,2.680000,4.000000,0.000000,0.000000
0.010000,0.965000,11.250000,0.965005,2.720000,4.000000,-0.000000,0.000000
0.010000,0.992600,11.250000,0.992605,2.760000,4.000000,0.000000,0.000000
0.010000,1.020600,11.250000,1.020605,2.800000,4.000000,0.000000,0.000000
0.010000,1.049000,11.250000,1.049005,2.840000,4.000000,-0.000000,0.000000
0.010000,1.077800,11.250000,1.077805,2.880000,4.000000,0.000000,0.000000
0.010000,1.107000,11.250000,1.107005,2.920000,4.000000,0.000000,0.000000
0.010000,1.136600,11.250000,1.136605,2.960000,4.000000,-0.000000,0.000000
0.010000,1.166600,11.250000,1.166605,3.000000,4.000000,0.000000,0.000000
0.010000,1.197000,11.250000,1.197005,3.040000,4.000000,0.000000,0.000000
0.010000,1.227800,11.250000,1.227805,3.080000,4.000000,-0.000000,0.000000
0.010000,1.259000,11.250000,1.259005,3.120000,4.000000,-0.000000,0.000000
0.010000,1.290600,11.250000,1.290605,3.160000,4.000000,-0.000000,0.000000
0.010000,1.322600,11.250000,1.322605,3.200000,4.000000,0.000000,0.000000
0.010000,1.354995,11.250000,1.355000,3.239500,3.950000,-5.000000,0.000000
0.010000,1.387775,11.250000,1.387780,3.278000,3.850000,-10.000000,0.000000
0.010000,1.420930,11.250000,1.420935,3.315500,3.750000,-10.000000,0.000000
0.010000,1.454450,11.250000,1.454455,3.352000,3.650000,-10.000000,0.000000
0.010000,1.488325,11.250000,1.488330,3.387500,3.550000,-10.000000,0.000000
0.010000,1.522545,11.250000,1.522550,3.422000,3.450000,-10.000000,0.000000
0.010000,1.557100,11.250000,1.557105,3.455500,3.350000,-10.000000,0.000000
0.010000,1.591980,11.250000,1.591985,3.488000,3.250000,-10.000000,0.000000
0.010000,1.627175,11.250000,1.627180,3.519500,3.150000,-10.000000,0.000000
0.010000,1.662675,11.250000,1.662680,3.550000,3.050000,-10.000000,0.000000
0.010000,1.698470,11.250000,1.698475,3.579500,2.950000,-10.000000,0.000000
0.010000,1.734550,11.250000,1.734555,3.608000,2.850000,-10.000000,0.000000
